openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2053]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2221]: Warning: Wire CaravelHost.\wbs_data_o [31] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2222]: Warning: Wire CaravelHost.\wbs_data_o [30] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2223]: Warning: Wire CaravelHost.\wbs_data_o [29] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2224]: Warning: Wire CaravelHost.\wbs_data_o [28] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2225]: Warning: Wire CaravelHost.\wbs_data_o [27] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2226]: Warning: Wire CaravelHost.\wbs_data_o [26] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2227]: Warning: Wire CaravelHost.\wbs_data_o [25] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2228]: Warning: Wire CaravelHost.\wbs_data_o [24] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2229]: Warning: Wire CaravelHost.\wbs_data_o [23] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2230]: Warning: Wire CaravelHost.\wbs_data_o [22] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2231]: Warning: Wire CaravelHost.\wbs_data_o [21] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2232]: Warning: Wire CaravelHost.\wbs_data_o [20] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2233]: Warning: Wire CaravelHost.\wbs_data_o [19] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2234]: Warning: Wire CaravelHost.\wbs_data_o [18] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2235]: Warning: Wire CaravelHost.\wbs_data_o [17] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2236]: Warning: Wire CaravelHost.\wbs_data_o [16] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2237]: Warning: Wire CaravelHost.\wbs_data_o [15] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2238]: Warning: Wire CaravelHost.\wbs_data_o [14] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2239]: Warning: Wire CaravelHost.\wbs_data_o [13] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2240]: Warning: Wire CaravelHost.\wbs_data_o [12] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2241]: Warning: Wire CaravelHost.\wbs_data_o [11] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2242]: Warning: Wire CaravelHost.\wbs_data_o [10] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2243]: Warning: Wire CaravelHost.\wbs_data_o [9] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2244]: Warning: Wire CaravelHost.\wbs_data_o [8] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2245]: Warning: Wire CaravelHost.\wbs_data_o [7] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2246]: Warning: Wire CaravelHost.\wbs_data_o [6] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2247]: Warning: Wire CaravelHost.\wbs_data_o [5] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2248]: Warning: Wire CaravelHost.\wbs_data_o [4] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2249]: Warning: Wire CaravelHost.\wbs_data_o [3] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2250]: Warning: Wire CaravelHost.\wbs_data_o [2] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2251]: Warning: Wire CaravelHost.\wbs_data_o [1] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2252]: Warning: Wire CaravelHost.\wbs_data_o [0] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2253]: Warning: Wire CaravelHost.\wbs_ack_o is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2254]: Warning: Wire CaravelHost.\versionID [3] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2255]: Warning: Wire CaravelHost.\versionID [2] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2256]: Warning: Wire CaravelHost.\versionID [1] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2257]: Warning: Wire CaravelHost.\versionID [0] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2258]: Warning: Wire CaravelHost.\partID [15] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2259]: Warning: Wire CaravelHost.\partID [14] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2260]: Warning: Wire CaravelHost.\partID [13] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2261]: Warning: Wire CaravelHost.\partID [12] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2262]: Warning: Wire CaravelHost.\partID [11] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2263]: Warning: Wire CaravelHost.\partID [10] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2264]: Warning: Wire CaravelHost.\partID [9] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2265]: Warning: Wire CaravelHost.\partID [8] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2266]: Warning: Wire CaravelHost.\partID [7] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2267]: Warning: Wire CaravelHost.\partID [6] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2268]: Warning: Wire CaravelHost.\partID [5] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2269]: Warning: Wire CaravelHost.\partID [4] is used but has no driver.
openlane/CaravelHost\runs\CaravelHost\logs\synthesis\1-synthesis.log[2270]: Warning: Wire CaravelHost.\partID [3] is used but has no driver.
