openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[537]: Warning: Wire ExperiarCore.\coreManagement.jtagSelect is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[538]: Warning: Wire ExperiarCore.\core.management_byteSelect [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[539]: Warning: Wire ExperiarCore.\core.management_byteSelect [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[540]: Warning: Wire ExperiarCore.\core.management_byteSelect [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[541]: Warning: Wire ExperiarCore.\core.management_byteSelect [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[1947]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2098]: Warning: Wire ExperiarCore.\wmask0 [3] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2099]: Warning: Wire ExperiarCore.\wmask0 [2] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2100]: Warning: Wire ExperiarCore.\wmask0 [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2101]: Warning: Wire ExperiarCore.\wmask0 [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2102]: Warning: Wire ExperiarCore.\web0 is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2103]: Warning: Wire ExperiarCore.\probe_takeBranch is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2104]: Warning: Wire ExperiarCore.\probe_state [1] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2105]: Warning: Wire ExperiarCore.\probe_state [0] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2106]: Warning: Wire ExperiarCore.\probe_programCounter [31] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2107]: Warning: Wire ExperiarCore.\probe_programCounter [30] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2108]: Warning: Wire ExperiarCore.\probe_programCounter [29] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2109]: Warning: Wire ExperiarCore.\probe_programCounter [28] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2110]: Warning: Wire ExperiarCore.\probe_programCounter [27] is used but has no driver.
openlane/ExperiarCore\runs\ExperiarCore\logs\synthesis\1-synthesis.log[2111]: Warning: Wire ExperiarCore.\probe_programCounter [26] is used but has no driver.
