openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[996]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1124]: Warning: Wire GPIO.\requestOutput is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1125]: Warning: Wire GPIO.\peripheralBus_dataOut [31] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1126]: Warning: Wire GPIO.\peripheralBus_dataOut [30] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1127]: Warning: Wire GPIO.\peripheralBus_dataOut [29] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1128]: Warning: Wire GPIO.\peripheralBus_dataOut [28] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1129]: Warning: Wire GPIO.\peripheralBus_dataOut [27] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1130]: Warning: Wire GPIO.\peripheralBus_dataOut [26] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1131]: Warning: Wire GPIO.\peripheralBus_dataOut [25] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1132]: Warning: Wire GPIO.\peripheralBus_dataOut [24] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1133]: Warning: Wire GPIO.\peripheralBus_dataOut [23] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1134]: Warning: Wire GPIO.\peripheralBus_dataOut [22] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1135]: Warning: Wire GPIO.\peripheralBus_dataOut [21] is used but has no driver.
openlane/Peripheral_GPIO\runs\Peripheral_GPIO\logs\synthesis\1-synthesis.log[1136]: Warning: Wire GPIO.\peripheralBus_dataOut [20] is used but has no driver.
