openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1799]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1965]: Warning: Wire PWM.\requestOutput is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1966]: Warning: Wire PWM.\pwm_out [15] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1967]: Warning: Wire PWM.\pwm_out [14] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1968]: Warning: Wire PWM.\pwm_out [13] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1969]: Warning: Wire PWM.\pwm_out [12] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1970]: Warning: Wire PWM.\pwm_out [11] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1971]: Warning: Wire PWM.\pwm_out [10] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1972]: Warning: Wire PWM.\pwm_out [9] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1973]: Warning: Wire PWM.\pwm_out [8] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1974]: Warning: Wire PWM.\pwm_out [7] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1975]: Warning: Wire PWM.\pwm_out [6] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1976]: Warning: Wire PWM.\pwm_out [5] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1977]: Warning: Wire PWM.\pwm_out [4] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1978]: Warning: Wire PWM.\pwm_out [3] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1979]: Warning: Wire PWM.\pwm_out [2] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1980]: Warning: Wire PWM.\pwm_out [1] is used but has no driver.
openlane/Peripheral_PWM\runs\Peripheral_PWM\logs\synthesis\1-synthesis.log[1981]: Warning: Wire PWM.\pwm_out [0] is used but has no driver.
