openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[36]: /home/crab/windows/ASIC/ExperiarSoC/openlane/Peripheral_WBPeripheralBusInterface/../../verilog/rtl/Peripherals/WBPeripheralBusInterface/WBPeripheralBusInterface_top.v:99: Warning: Identifier `\STATE_WRITE' is implicitly declared.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[37]: /home/crab/windows/ASIC/ExperiarSoC/openlane/Peripheral_WBPeripheralBusInterface/../../verilog/rtl/Peripherals/WBPeripheralBusInterface/WBPeripheralBusInterface_top.v:100: Warning: Identifier `\STATE_READ' is implicitly declared.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[149]: Warning: Wire WBPeripheralBusInterface.\STATE_WRITE is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[150]: Warning: Wire WBPeripheralBusInterface.\STATE_READ is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[874]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[993]: Warning: Wire WBPeripheralBusInterface.\wb_stall_o is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[994]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [31] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[995]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [30] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[996]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [29] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[997]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [28] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[998]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [27] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[999]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [26] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1000]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [25] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1001]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [24] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1002]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [23] is used but has no driver.
openlane/Peripheral_WBPeripheralBusInterface\runs\Peripheral_WBPeripheralBusInterface\logs\synthesis\1-synthesis.log[1003]: Warning: Wire WBPeripheralBusInterface.\wb_data_o [22] is used but has no driver.
