openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1171]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1324]: Warning: Wire WishboneInterconnect.\slave4_wb_we_i is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1325]: Warning: Wire WishboneInterconnect.\slave4_wb_stb_i is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1326]: Warning: Wire WishboneInterconnect.\slave4_wb_sel_i [3] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1327]: Warning: Wire WishboneInterconnect.\slave4_wb_sel_i [2] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1328]: Warning: Wire WishboneInterconnect.\slave4_wb_sel_i [1] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1329]: Warning: Wire WishboneInterconnect.\slave4_wb_sel_i [0] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1330]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [31] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1331]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [30] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1332]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [29] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1333]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [28] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1334]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [27] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1335]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [26] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1336]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [25] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1337]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [24] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1338]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [23] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1339]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [22] is used but has no driver.
openlane/WishboneInterconnect\runs\WishboneInterconnect\logs\synthesis\1-synthesis.log[1340]: Warning: Wire WishboneInterconnect.\slave4_wb_data_i [21] is used but has no driver.
