openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[769]: ABC: Warning: Detected 2 multi-output gates (for example, "sky130_fd_sc_hd__fa_1").
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[975]: Warning: Wire user_proj_example.\wbs_dat_o [31] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[976]: Warning: Wire user_proj_example.\wbs_dat_o [30] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[977]: Warning: Wire user_proj_example.\wbs_dat_o [29] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[978]: Warning: Wire user_proj_example.\wbs_dat_o [28] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[979]: Warning: Wire user_proj_example.\wbs_dat_o [27] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[980]: Warning: Wire user_proj_example.\wbs_dat_o [26] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[981]: Warning: Wire user_proj_example.\wbs_dat_o [25] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[982]: Warning: Wire user_proj_example.\wbs_dat_o [24] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[983]: Warning: Wire user_proj_example.\wbs_dat_o [23] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[984]: Warning: Wire user_proj_example.\wbs_dat_o [22] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[985]: Warning: Wire user_proj_example.\wbs_dat_o [21] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[986]: Warning: Wire user_proj_example.\wbs_dat_o [20] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[987]: Warning: Wire user_proj_example.\wbs_dat_o [19] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[988]: Warning: Wire user_proj_example.\wbs_dat_o [18] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[989]: Warning: Wire user_proj_example.\wbs_dat_o [17] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[990]: Warning: Wire user_proj_example.\wbs_dat_o [16] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[991]: Warning: Wire user_proj_example.\wbs_dat_o [15] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[992]: Warning: Wire user_proj_example.\wbs_dat_o [14] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[993]: Warning: Wire user_proj_example.\wbs_dat_o [13] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[994]: Warning: Wire user_proj_example.\wbs_dat_o [12] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[995]: Warning: Wire user_proj_example.\wbs_dat_o [11] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[996]: Warning: Wire user_proj_example.\wbs_dat_o [10] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[997]: Warning: Wire user_proj_example.\wbs_dat_o [9] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[998]: Warning: Wire user_proj_example.\wbs_dat_o [8] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[999]: Warning: Wire user_proj_example.\wbs_dat_o [7] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1000]: Warning: Wire user_proj_example.\wbs_dat_o [6] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1001]: Warning: Wire user_proj_example.\wbs_dat_o [5] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1002]: Warning: Wire user_proj_example.\wbs_dat_o [4] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1003]: Warning: Wire user_proj_example.\wbs_dat_o [3] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1004]: Warning: Wire user_proj_example.\wbs_dat_o [2] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1005]: Warning: Wire user_proj_example.\wbs_dat_o [1] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1006]: Warning: Wire user_proj_example.\wbs_dat_o [0] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1007]: Warning: Wire user_proj_example.\wbs_ack_o is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1008]: Warning: Wire user_proj_example.\la_data_out [127] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1009]: Warning: Wire user_proj_example.\la_data_out [126] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1010]: Warning: Wire user_proj_example.\la_data_out [125] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1011]: Warning: Wire user_proj_example.\la_data_out [124] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1012]: Warning: Wire user_proj_example.\la_data_out [123] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1013]: Warning: Wire user_proj_example.\la_data_out [122] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1014]: Warning: Wire user_proj_example.\la_data_out [121] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1015]: Warning: Wire user_proj_example.\la_data_out [120] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1016]: Warning: Wire user_proj_example.\la_data_out [119] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1017]: Warning: Wire user_proj_example.\la_data_out [118] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1018]: Warning: Wire user_proj_example.\la_data_out [117] is used but has no driver.
openlane/user_proj_example\runs\user_proj_example\logs\synthesis\1-synthesis.log[1019]: Warning: Wire user_proj_example.\la_data_out [116] is used but has no driver.
